source_column,name,display_name,type,description,allowed_values,nullable,constraints,collection,priority,aliases
participant_id,participant_id,Participant Id,string,Unique identifier for the study participant.,,False,,id,Required,[]
brain_bank_id,brain_bank_id,Brain Bank Id,string,Unique identifier assigned by the brain bank for this specimen.,,False,,id,Required,[]
date_of_birth_unix,date_of_birth_unix,Date Of Birth Unix,float,Date of birth as a Unix timestamp (seconds since epoch).,,True,"{'min': -21914.0, 'max': 51535.0}",demographics,,[]
postmortem_interval_hours,postmortem_interval_hours,Postmortem Interval Hours,float,Time elapsed between death and tissue processing in hours.,,True,"{'min': 0.0, 'max': 98.9}",pathology,,[]
brain_weight_grams,brain_weight_grams,Brain Weight Grams,float,Weight of the whole brain in grams.,,True,"{'min': 100.0, 'max': 2500.0}",pathology,,[]
half_brain_weight_grams,half_brain_weight_grams,Half Brain Weight Grams,float,Weight of the formalin-fixed half brain in grams.,,True,"{'min': 100.0, 'max': 2500.0}",pathology,,[]
circle_of_willis_atherosclerosis_severity,circle_of_willis_atherosclerosis_severity,Circle Of Willis Atherosclerosis Severity,enum,Severity of atherosclerosis in the circle of Willis.,"['none', 'mild', 'moderate', 'severe']",True,,pathology,,[]
nia_aa_adnc_score,nia_aa_adnc_score,Nia Aa Adnc Score,enum,National Institute on Aging-Alzheimer's Association Alzheimer's disease neuropathologic change score (ABC score).,"['none', 'low', 'intermediate', 'high']",True,,pathology,,[]
late_tdp43_score,late_tdp43_score,Late Tdp43 Score,enum,LATE TDP-43 Score,"['0', '1', '2', '3']",True,,pathology,,[]
agd_score,agd_score,Agd Score,enum,Argyrophilic grain disease pathology score.,"['0', '1', '2', '3', '4']",True,,pathology,,[]
artag_extent,artag_extent,Artag Extent,enum,Extent of age-related tau astrogliopathy pathology.,"['none', 'focal', 'moderate', 'widespread']",True,,pathology,,[]
vascular_pathology_severity,vascular_pathology_severity,Vascular Pathology Severity,enum,Severity of parenchymal atherosclerosis.,"['none', 'mild', 'moderate', 'severe']",True,,pathology,,[]
cerebral_amyloid_angiopathy_lm_severity,cerebral_amyloid_angiopathy_lm_severity,Cerebral Amyloid Angiopathy Lm Severity,enum,Severity of cerebral amyloid angiopathy in the leptomeningeal region.,"['none', 'mild', 'moderate', 'severe']",True,,pathology,,[]
cerebral_amyloid_angiopathy_p_severity,cerebral_amyloid_angiopathy_p_severity,Cerebral Amyloid Angiopathy P Severity,enum,Severity of cerebral amyloid angiopathy in the parenchymal region.,"['none', 'mild', 'moderate', 'severe']",True,,pathology,,[]
infarcts_present,infarcts_present,Infarcts Present,enum,Presence of infarcts and lacunes.,"['false', 'true']",True,,pathology,,[]
microinfarcts_present,microinfarcts_present,Microinfarcts Present,enum,Presence of microinfarcts.,"['false', 'true']",True,,pathology,,[]
hemorrhages_present,hemorrhages_present,Hemorrhages Present,enum,Presence of hemorrhages.,"['false', 'true']",True,,pathology,,[]
microbleeds_present,microbleeds_present,Microbleeds Present,enum,Presence of microbleeds.,"['false', 'true']",True,,pathology,,[]
arteriolosclerosis_severity,arteriolosclerosis_severity,Arteriolosclerosis Severity,enum,Severity of arteriolosclerosis.,"['none', 'mild', 'moderate', 'severe']",True,,pathology,,[]
hippocampal_sclerosis,hippocampal_sclerosis,Hippocampal Sclerosis,enum,Presence and laterality of hippocampal sclerosis.,"['none', 'unilateral', 'bilateral', 'present_laterality_unknown']",True,,pathology,,[]
autopsy_finding_1,autopsy_finding_1,Autopsy Finding 1,string,First major finding from the full autopsy.,,True,,pathology,,[]
autopsy_finding_2,autopsy_finding_2,Autopsy Finding 2,string,Second major finding from the full autopsy.,,True,,pathology,,[]
autopsy_finding_3,autopsy_finding_3,Autopsy Finding 3,string,Third major finding from the full autopsy.,,True,,pathology,,[]
autopsy_finding_4,autopsy_finding_4,Autopsy Finding 4,string,Fourth major finding from the full autopsy.,,True,,pathology,,[]
ethnicity,ethnicity,Ethnicity,enum,Ethnicity category.,"['hispanic_or_latino', 'not_hispanic_or_latino', 'not_reported']",True,,demographics,,[]
race,race,Race,enum,Race category.,"['american_indian_or_alaska_native', 'asian', 'white', 'black_or_african_american', 'multi_racial', 'native_hawaiian_or_other_pacific_islander', 'other', 'not_reported']",True,,demographics,,[]
education_years,education_years,Education Years,integer,Number of years of formal education completed.,,True,"{'min': 0.0, 'max': 40.0}",demographics,,[]
cog_status,cog_status,Cog Status,enum,"Cognitive status code (0=normal, 1=mild cognitive impairment, 2=dementia).","['0', '1', '2']",True,,diagnosis,,[]
movement_disorder_diagnosis,movement_disorder_diagnosis,Movement Disorder Diagnosis,enum,Movement disorder diagnosis status.,,True,,diagnosis,,[]
cause_of_death,cause_of_death,Cause Of Death,string,Cause of death.,,True,,pathology,,[]
genetics_screening,genetics_screening,Genetics Screening,boolean,Whether a genetic screening was performed.,,True,,genetics,,[]
scanner_manufacturer,scanner_manufacturer,Scanner Manufacturer,string,Manufacturer of the whole slide scanner used for imaging.,,True,,equipment,,[]
scanner_model,scanner_model,Scanner Model,string,Model of the whole slide scanner used for imaging.,,True,,equipment,,[]
scanner_objective_magnification,scanner_objective_magnification,Scanner Objective Magnification,enum,Magnification level of the scanning objective lens.,"['5', '10', '20', '40', '60', '100', 'other']",True,,equipment,,[]
genotyping_chip,genotyping_chip,Genotyping Chip,string,Genotyping chip platform or array type used for genetic analysis.,,True,,genetics,,[]
apoe_status,apoe_status,Apoe Status,enum,Apolipoprotein E genotype from National Alzheimer's Coordinating Center neuropathology data.,"['e2/e2', 'e2/e3', 'e2/e4', 'e3/e3', 'e3/e4', 'e4/e4']",True,,pathology,,[]
center_of_sequencing,center_of_sequencing,Center Of Sequencing,string,Laboratory or institution that performed the sequencing analysis,,True,,genetics,,[]
date_of_death,date_of_death,Date Of Death,date,Date of death as registered in the assessments database.,,True,,vital,,[]
date_donated,date_donated,Date Donated,date,Date the brain tissue was received by the brain bank.,,True,,pathology,,[]
date_fixed_blocks_processed,date_fixed_blocks_processed,Date Fixed Blocks Processed,date,Date fixed tissue blocks were processed by the brain bank.,,True,,pathology,,[]
date_hist_staining_completed,date_hist_staining_completed,Date Hist Staining Completed,date,Date histological staining was completed by the brain bank.,,True,,pathology,,[]
date_of_fixed_dissection,date_of_fixed_dissection,Date Of Fixed Dissection,date,Date of fixed tissue dissection performed by the brain bank.,,True,,pathology,,[]
date_of_primary_hist_review,date_of_primary_hist_review,Date Of Primary Hist Review,date,Date of primary histological review performed by the brain bank.,,True,,pathology,,[]
diagnosis_report_date,diagnosis_report_date,Diagnosis Report Date,date,Date when the neuropathological diagnosis report was issued by the brain bank.,,True,,pathology,,[]
marital_status,marital_status,Marital Status,enum,Marital status.,"['Single', 'Married', 'Divorced', 'Widowed', 'Separated', 'Domestic Partnership', 'Unknown']",True,,demographics,,[]
seizures,seizures,Seizures,enum,Whether seizures were present as an early symptom.,"['Yes', 'No', 'Unknown']",True,,clinical,,[]
maternal_diagnosis,maternal_diagnosis,Maternal Diagnosis,enum,Maternal dementia diagnosis status.,"['Yes', 'No', 'Unknown']",True,,clinical,,[]
paternal_diagnosis,paternal_diagnosis,Paternal Diagnosis,enum,Father's dementia diagnosis status,"['Yes', 'No', 'Unknown']",True,,clinical,,[]
sibling_diagnosis,sibling_diagnosis,Sibling Diagnosis,string,Sibling dementia diagnosis or condition.,,True,,clinical,,[]
